Time,Digital Thermometer,Thermistor
26/01/2021 16:24,4,7.12
26/01/2021 16:24,3.81,7.02
26/01/2021 16:24,3.63,6.96
26/01/2021 16:24,3.5,6.86
26/01/2021 16:24,3.38,6.8
26/01/2021 16:25,3.25,6.78
26/01/2021 16:25,3.13,6.72
26/01/2021 16:25,3,6.65
26/01/2021 16:25,2.94,6.65
26/01/2021 16:25,2.81,6.51
26/01/2021 16:25,2.75,6.51
26/01/2021 16:25,2.69,6.45
26/01/2021 16:25,2.56,6.37
26/01/2021 16:25,2.5,6.33
26/01/2021 16:25,2.5,6.26
26/01/2021 16:25,2.44,6.22
26/01/2021 16:25,2.38,6.14
26/01/2021 16:25,2.31,6.1
26/01/2021 16:25,2.25,6.04
26/01/2021 16:25,2.19,6.06
26/01/2021 16:25,2.13,5.91
26/01/2021 16:25,2.13,5.89
26/01/2021 16:25,2.06,5.85
26/01/2021 16:25,2,5.77
26/01/2021 16:25,1.94,5.79
26/01/2021 16:25,1.88,5.79
26/01/2021 16:25,1.81,5.77
26/01/2021 16:25,1.81,5.81
26/01/2021 16:25,1.75,5.67
26/01/2021 16:25,1.75,5.71
26/01/2021 16:25,1.69,5.67
26/01/2021 16:25,1.69,5.63
26/01/2021 16:25,1.63,5.63
26/01/2021 16:25,1.63,5.56
26/01/2021 16:25,1.63,5.54
26/01/2021 16:25,1.56,5.48
26/01/2021 16:25,1.56,5.46
26/01/2021 16:25,1.56,5.46
26/01/2021 16:25,1.5,5.4
26/01/2021 16:25,1.5,5.4
26/01/2021 16:26,1.5,5.4
26/01/2021 16:26,1.44,5.31
26/01/2021 16:26,1.44,5.27
26/01/2021 16:26,1.44,5.25
26/01/2021 16:26,1.44,5.19
26/01/2021 16:26,1.44,5.17
26/01/2021 16:26,1.37,5.09
26/01/2021 16:26,1.37,5.09
26/01/2021 16:26,1.37,5
26/01/2021 16:26,1.37,4.94
26/01/2021 16:26,1.37,4.86
26/01/2021 16:26,1.37,4.9
26/01/2021 16:26,1.31,4.77
26/01/2021 16:26,1.31,4.75
26/01/2021 16:26,1.31,4.67
26/01/2021 16:26,1.31,4.63
26/01/2021 16:26,1.37,4.56
26/01/2021 16:26,1.37,4.48
26/01/2021 16:26,1.37,4.48
26/01/2021 16:26,1.37,4.4
26/01/2021 16:26,1.37,4.4
26/01/2021 16:26,1.37,4.44
26/01/2021 16:26,1.31,4.36
26/01/2021 16:26,1.31,4.31
26/01/2021 16:26,1.31,4.29
26/01/2021 16:26,1.37,4.25
26/01/2021 16:26,1.31,4.19
26/01/2021 16:26,1.31,4.12
26/01/2021 16:26,1.25,4.06
26/01/2021 16:26,1.31,3.94
26/01/2021 16:26,1.25,3.81
26/01/2021 16:26,1.25,3.72
26/01/2021 16:26,1.25,3.62
26/01/2021 16:26,1.25,3.51
26/01/2021 16:26,1.25,3.39
