Time,DigitalTherm,Thermistor
19:07.7,2.04,1.19
19:13.5,3.22,1.94
19:19.2,4.42,1.81
19:24.9,3.15,0.75
19:30.6,1.54,0
19:36.2,-0.01,-0.63
19:41.9,-1.27,-1.19
19:47.6,-2.34,-1.69
19:53.3,-3.27,-2.13
19:59.0,-4.04,-2.5
20:04.7,-4.78,-2.81
20:10.4,-5.39,-3.13
20:16.1,-5.9,-3.44
20:21.8,-6.4,-3.63
20:27.5,-6.72,-3.88
20:33.2,-7.1,-4.06
20:38.9,-7.48,-4.25
20:44.5,-7.68,-4.44
20:50.2,-7.91,-4.63
20:55.9,-8.04,-4.75
21:01.6,-8.27,-4.94
21:07.3,-8.43,-5.06
21:13.0,-8.51,-5.19
21:18.7,-8.66,-5.31
21:24.4,-8.64,-5.44
21:30.1,-8.74,-5.5
21:35.8,-8.77,-5.63
21:41.5,-8.82,-5.75
21:47.2,-8.85,-5.81
21:52.9,-8.82,-5.94
21:58.5,-8.82,-5.94
22:04.2,-8.93,-6
22:09.9,-8.87,-6.13
22:15.6,-8.8,-6.19
22:21.3,-8.77,-6.19
22:27.0,-8.82,-6.31
22:32.7,-8.69,-6.31
22:38.4,-8.69,-6.38
22:44.1,-8.64,-6.44
22:49.8,-8.66,-6.44
22:55.5,-8.56,-6.44
23:01.2,-8.51,-6.5
23:06.9,-8.48,-6.5
23:12.6,-8.4,-6.5
23:18.2,-8.33,-6.56
23:24.0,-8.3,-6.56
23:29.6,-8.27,-6.56
23:35.3,-8.17,-6.56
23:41.0,-8.14,-6.63
23:46.7,-8.14,-6.56
23:52.4,-7.99,-6.63
23:58.1,-7.91,-6.63
24:03.8,-7.86,-6.56
24:09.5,-7.84,-6.56
24:15.2,-7.76,-6.56
24:20.9,-7.68,-6.56
24:26.6,-7.63,-6.56
24:32.3,-7.55,-6.56
24:38.0,-7.53,-6.5
24:43.6,-7.4,-6.5
24:49.4,-7.33,-6.5
24:55.0,-7.2,-6.5
25:00.7,-7.22,-6.44
25:06.4,-7.1,-6.44
25:12.1,-7,-6.44
25:17.8,-6.92,-6.44
25:23.5,-6.87,-6.38
25:29.2,-6.85,-6.38
25:34.9,-6.75,-6.31
25:40.6,-6.6,-6.31
25:46.3,-6.55,-6.25
25:52.0,-6.55,-6.25
25:57.7,-6.42,-6.19
26:03.3,-6.37,-6.19
26:09.0,-6.37,-6.13
26:14.8,-6.3,-6.13
26:20.4,-6.2,-6.06
26:26.1,-6.1,-6.06
26:31.8,-6.05,-6
26:37.5,-5.98,-5.94
26:43.2,-5.93,-5.94
26:48.9,-5.8,-5.88
26:54.6,-5.9,-5.81
27:00.3,-5.8,-5.81
27:06.0,-5.71,-5.75
27:11.7,-5.63,-5.75
27:17.3,-5.56,-5.69
27:23.0,-5.56,-5.63
27:28.8,-5.49,-5.63
27:34.4,-5.39,-5.56
27:40.1,-5.36,-5.5
27:45.8,-5.32,-5.5
27:51.5,-5.29,-5.44
27:57.2,-5.17,-5.38
28:02.9,-5.12,-5.38
28:08.6,-4.98,-5.31
28:14.3,-4.98,-5.25
28:20.0,-4.9,-5.19
28:25.7,-4.86,-5.19
28:31.4,-4.83,-5.13
28:37.1,-4.78,-5.06
28:42.8,-4.69,-5.06
28:48.4,-4.64,-5
28:54.1,-4.57,-4.94
28:59.8,-4.54,-4.88
29:05.5,-4.52,-4.81
29:11.2,-4.42,-4.81
29:16.9,-4.33,-4.75
29:22.6,-4.28,-4.69
29:28.3,-4.23,-4.63
29:34.0,-4.21,-4.63
29:39.7,-4.14,-4.56
29:45.3,-4.09,-4.5
29:51.1,-4.02,-4.5
29:56.8,-3.92,-4.44
30:02.4,-3.9,-4.44
30:08.2,-3.83,-4.31
30:13.8,-3.81,-4.31
30:19.5,-3.76,-4.25
30:25.2,-3.64,-4.19
30:30.9,-3.64,-4.19
30:36.6,-3.59,-4.13
30:42.3,-3.57,-4.06
30:48.0,-3.5,-4
30:53.7,-3.41,-4
30:59.4,-3.31,-3.94
31:05.1,-3.34,-3.88
31:10.8,-3.22,-3.81
31:16.4,-3.24,-3.75
31:22.1,-3.15,-3.75
31:27.8,-3.05,-3.69
31:33.5,-3.08,-3.69
31:39.2,-2.96,-3.63
31:44.9,-2.96,-3.56
31:50.6,-2.94,-3.5
31:56.3,-2.85,-3.5
32:02.0,-2.85,-3.44
32:07.7,-2.73,-3.44
32:13.3,-2.71,-3.31
32:19.0,-2.68,-3.31
32:24.7,-2.59,-3.31
32:30.5,-2.52,-3.19
32:36.2,-2.52,-3.19
32:41.8,-2.48,-3.13
32:47.5,-2.41,-3.13
32:53.2,-2.31,-3.06
32:58.9,-2.31,-3
33:04.6,-2.29,-3
33:10.3,-2.2,-2.94
33:16.0,-2.22,-2.88
33:21.7,-2.2,-2.88
33:27.3,-2.04,-2.81
33:33.0,-2.02,-2.75
33:38.8,-1.97,-2.75
33:44.5,-1.95,-2.63
33:50.1,-1.86,-2.63
33:55.8,-1.81,-2.63
34:01.5,-1.79,-2.56
34:07.2,-1.76,-2.5
34:12.9,-1.74,-2.5
34:18.6,-1.63,-2.44
34:24.3,-1.61,-2.38
34:30.0,-1.61,-2.38
34:35.7,-1.49,-2.31
34:41.4,-1.49,-2.25
34:47.1,-1.45,-2.25
34:52.7,-1.42,-2.19
34:58.4,-1.33,-2.19
35:04.1,-1.33,-2.13
35:09.8,-1.29,-2.06
35:15.5,-1.24,-2.06
35:21.2,-1.18,-2
35:26.9,-1.18,-1.94
35:32.6,-1.13,-1.94
35:38.3,-0.99,-1.88
35:43.9,-1.04,-1.88
35:49.7,-1.02,-1.81
35:55.4,-0.97,-1.81
36:01.1,-0.93,-1.75
36:06.7,-0.93,-1.69
36:12.4,-0.79,-1.69
36:18.1,-0.82,-1.63
36:23.8,-0.79,-1.63
36:29.5,-0.73,-1.56
36:35.2,-0.7,-1.5
36:40.9,-0.64,-1.5
36:46.6,-0.66,-1.44
36:52.3,-0.61,-1.44
36:58.0,-0.55,-1.37
37:03.7,-0.55,-1.37
37:09.3,-0.52,-1.31
37:15.0,-0.48,-1.31
37:20.7,-0.46,-1.25
37:26.4,-0.37,-1.25
37:32.1,-0.32,-1.19
37:37.8,-0.32,-1.19
37:43.5,-0.28,-1.12
37:49.2,-0.23,-1.12
37:54.9,-0.17,-1.06
38:00.6,-0.15,-1.06
38:06.3,-0.08,-1.06
38:11.9,-0.03,-1
38:17.6,-0.08,-1
38:23.3,0.03,-0.94
38:29.0,0.03,-0.94
38:34.7,0.05,-0.88
38:40.4,0.08,-0.88
38:46.1,0.14,-0.81
38:51.8,0.12,-0.81
38:57.5,0.16,-0.81
39:03.2,0.21,-0.75
39:08.8,0.21,-0.75
39:14.6,0.3,-0.69
39:20.2,0.25,-0.69
39:25.9,0.3,-0.69
39:31.6,0.32,-0.63
39:37.3,0.32,-0.63
39:43.0,0.41,-0.63
39:48.7,0.32,-0.56
39:54.4,0.45,-0.56
40:00.1,0.5,-0.56
40:05.8,0.5,-0.56
40:11.5,0.54,-0.56
40:17.2,0.54,-0.5
40:22.8,0.65,-0.5
40:28.5,0.61,-0.5
40:34.2,0.69,-0.5
40:39.9,0.63,-0.44
40:45.6,0.69,-0.44
40:51.3,0.74,-0.44
40:57.0,0.76,-0.44
41:02.7,0.76,-0.44
41:08.4,0.74,-0.37
41:14.1,0.82,-0.37
41:19.8,0.74,-0.37
41:25.4,0.8,-0.31
41:31.1,0.8,-0.31
41:36.8,0.8,-0.31
41:42.5,0.8,-0.31
41:48.2,0.85,-0.31
41:53.9,0.85,-0.25
41:59.6,0.8,-0.25
42:05.3,0.89,-0.25
42:11.0,0.85,-0.25
42:16.7,0.91,-0.19
42:22.4,0.82,-0.25
42:28.1,0.8,-0.19
42:33.8,0.82,-0.19
42:39.4,0.85,-0.19
42:45.1,0.85,-0.19
42:50.8,0.89,-0.19
42:56.5,0.85,-0.12
43:02.2,0.78,-0.12
43:07.9,0.85,-0.12
43:13.6,0.82,-0.12
43:19.3,0.85,-0.12
43:25.0,0.87,-0.12
43:30.6,0.87,-0.06
43:36.4,0.87,-0.06
43:42.0,0.85,-0.06
43:47.7,0.85,-0.06
43:53.4,0.78,-0.06
43:59.1,0.82,-0.06
44:04.8,0.85,0
44:10.5,0.8,0
44:16.2,0.78,0
44:21.9,0.78,0
44:27.6,0.74,0
44:33.3,0.78,0
44:38.9,0.8,0
44:44.6,0.74,0
44:50.3,0.72,0
44:56.0,0.74,0
45:01.7,0.76,0
45:07.4,0.74,0
45:13.1,0.65,0
45:18.8,0.72,0
45:24.5,0.69,0.06
45:30.2,0.67,0.06
45:35.9,0.69,0.06
45:41.6,0.67,0.06
45:47.2,0.74,0.06
45:52.9,0.74,0.06
45:58.6,0.72,0.06
46:04.3,0.72,0.06
46:10.0,0.67,0.06
46:15.7,0.72,0.06
46:21.4,0.74,0.06
46:27.1,0.63,0.06
46:32.8,0.56,0.06
46:38.5,0.67,0.06
46:44.1,0.65,0.06
46:49.8,0.63,0.06
46:55.5,0.54,0.06
47:01.2,0.58,0.06
47:06.9,0.65,0.06
47:12.6,0.56,0.06
47:18.3,0.56,0.06
47:24.0,0.58,0.06
47:29.7,0.56,0.06
47:35.4,0.61,0.06
47:41.1,0.58,0.06
